,ref,subject
0,016152a1,"peixe, dha, epa, omega 3, omega"
1,01a0024a,"protein, proteina, proteica"
2,01a0024a,"veg, vegan, vegano, vegie, vegana"
3,06d09091,"peixe, dha, epa, omega 3, omega"
4,0730f173,"termogenico, termogênico, termogenicos, termogênicos, cut, cutting, emagrece"
5,0ac5e0be,"whey, soro do leite"
6,0f74332f,"colageno, colagen"
7,1228b88b,cha
8,15235cc5,chocolate
9,15235cc5,"pasta de amendoim, peanut, amendoim"
10,15235cc5,concentrad
11,16b32aef,"protein, proteina, proteica"
12,16b32aef,"veg, vegan, vegano, vegie, vegana"
13,18465f0d,"colageno, colagen"
14,18465f0d,"zinco, zinco, zinco"
15,1878d811,"beauty, beleza"
16,1915b13a,"cafein, cafe, cafeina, coffe, caffe, coffee"
17,1915b13a,"termogenico, termogênico, termogenicos, termogênicos, cut, cutting, emagrece"
18,1a32ee41,"bcaa, bca"
19,1b051ae0,"palatinose, isomaltulose"
20,1bb55341,"coco, coco"
21,1d0f032b,"melatonina, melatonina"
22,1d80432a,"vitamina q, vitaminas q, coenzima q10"
23,1f54dce1,"melatonina, melatonina"
24,21da8870,"vitamina c, vitaminas c, ascorbico, ascorbato, ascorbila"
25,2211d8b1,"barrinha, barra, bar"
26,2211d8b1,"colageno, colagen"
27,2270938c,cha
28,22bb1c87,"wafer, bolacha, biscoito, cookie"
29,22bb1c87,"imune, imunidade"
30,236ae060,"barrinha, barra, bar"
31,2490fc73,"barrinha, barra, bar"
32,2490fc73,cha
33,263f3e73,"magnesio, magnesi"
34,26990929,primula
35,26990929,"omega 6, linoléico"
36,26990929,oleo
37,279c5eb2,"pretreino, pre treino, pre-treino, workout, work out, pretrein, pre trein, preworkout, pre workout"
38,282f2cdb,"termogenico, termogênico, termogenicos, termogênicos, cut, cutting, emagrece"
39,2a090f2d,"mass, hipercalorico"
40,2a993cb4,"arginin, arginine, arginina"
41,2b43eb9f,"colageno, colagen"
42,2c4d2520,"termogenico, termogênico, termogenicos, termogênicos, cut, cutting, emagrece"
43,2caa3359,aminoacido
44,2da58642,"beta alanina, betaalanina, alanina, alanine"
45,2dc998a6,astaxantina
46,2dc998a6,"magnesio, magnesi"
47,2fe1cd34,fibra
48,3088bcd2,oleo
49,3088bcd2,chia
50,3088bcd2,"picolinato, picolinato"
51,319089f6,"whey, soro do leite"
52,32aa3be0,"cafein, cafe, cafeina, coffe, caffe, coffee"
53,33cb6606,"glutamin, glutamine, glutamina, lglutamina"
54,34204f22,"arginin, arginine, arginina"
55,364a1b36,"glutamin, glutamine, glutamina, lglutamina"
56,3929a082,"vitamina d, vitaminas d, calciferol"
57,39daffd6,calcio
58,3a2dd9e4,"minerai, minerail"
59,3a2dd9e4,"kit, combo"
60,3ab1f8f3,"vitamina q, vitaminas q, coenzima q10"
61,3b3bf147,"vitamina e, vitaminas e, tocoferol"
62,3b3bf147,"vitamina q, vitaminas q, coenzima q10"
63,3e67a604,"lipase, lipasa, lipase"
64,3e67a604,"protease, proteasa, protease"
65,3e67a604,"lactase, lactasa, lactase"
