ref,location,subject,back_word_1,back_word_2,back_word_3,title
001df1fe,243,palatinose,1166,214,824,1
0023616d,9,protein,0,0,1791,1
0023616d,11,protein,0,2222,2628,1
0023616d,64,protein,145,651,160,1
0023616d,134,protein,3286,b,1,1
0023616d,158,protein,890,protein,plant,1
0023616d,272,protein,1093,682,2621,1
0023616d,400,protein,2334,346,2222,1
0023616d,480,protein,tas,1093,2512,1
0023616d,511,protein,0,890,g,1
0023616d,549,protein,0,2449,1071,1
0023616d,577,protein,145,651,160,1
0023616d,647,protein,3286,b,1,1
0023616d,671,protein,890,protein,plant,1
0023616d,730,protein,1093,1703,890,1
0023616d,823,protein,2222,784,890,1
0023616d,838,protein,145,651,160,1
0023616d,908,protein,3286,b,1,1
0023616d,932,protein,890,protein,plant,1
0023616d,1033,protein,ção,1205,1093,1
0023616d,1161,protein,2334,346,2222,1
0023616d,1182,protein,2274,490,651,1
0023616d,1197,protein,0,ínas,1437,1
0023616d,1211,protein,s,2582,1807,1
0023616d,1246,protein,1218,1093,1054,1
0023616d,1339,protein,2222,784,890,1
0023616d,1493,protein,520,2840,1735,1
0023616d,1504,protein,890,2211,2304,1
0023616d,1522,protein,s,2582,1807,1
0023616d,1533,protein,2582,1807,890,1
0023616d,1763,protein,ina,b,metilcobalamina,1
0023616d,1792,protein,2582,1807,890,1
0023616d,2036,protein,2872,2222,2525,1
00a66247,5,kit,0,0,1251,1
00a66247,7,kit,0,0,1842,1
00a66247,25,mass,1842,comboscombokit,x,1
00a66247,28,mass,0,1841,x,1
00a66247,37,mass,1818,810,1077,1
00a66247,51,mass,1077,3187,1054,1
00a66247,183,kit,1579,2334,3087,1
00a66247,215,mass,1818,810,1077,1
00a66247,229,mass,1077,3187,1054,1
013dc7c8,4,whey,0,0,2222,1
013dc7c8,18,protein,2222,whey,651,1
013dc7c8,139,whey,0,1065,2527,1
013dc7c8,144,protein,0,2527,3075,1
013dc7c8,157,protein,890,whey,protein,1
013dc7c8,183,whey,1,2582,1638,1
013dc7c8,216,protein,w,2777,2294,1
013dc7c8,298,whey,657,1255,3150,1
013dc7c8,389,whey,2628,1627,3176,1
013dc7c8,461,whey,1054,1809,1093,1
013dc7c8,947,protein,2126,3336,2623,1
013dc7c8,1110,whey,1219,1093,589,1
013dc7c8,1500,whey,0,2222,iridium,1
013dc7c8,1577,whey,0,1065,2527,1
013dc7c8,1582,protein,0,2527,3075,1
013dc7c8,1638,protein,1093,1600,651,1
013dc7c8,2022,protein,2449,1277,1,1
013dc7c8,2077,whey,ssa,2126,2222,1
013dc7c8,2323,protein,945,1136,3282,1
013dc7c8,2457,whey,2212,2222,784,1
013dc7c8,2557,protein,2593,1093,2823,1
013dc7c8,2605,whey,3292,2433,783,1
013dc7c8,2691,protein,890,3176,1731,1
013dc7c8,2882,protein,281,2958,2152,1
013dc7c8,2912,whey,2582,2916,iridium,1
013dc7c8,3202,protein,ga,312,2957,1
013dc7c8,3352,protein,213,3292,752,1
013dc7c8,3423,protein,1370,2334,2991,1
013dc7c8,3488,whey,ltar,2433,2895,1
013dc7c8,3547,protein,412,2958,2049,1
013dc7c8,3603,protein,1803,746,890,1
013dc7c8,3698,protein,1093,1,1469,1
013dc7c8,3874,protein,281,1447,2370,1
013dc7c8,3948,protein,cular,1469,1683,1
013dc7c8,4227,protein,2449,1277,1,1
013dc7c8,4323,protein,0,iável,1436,1
013dc7c8,4425,protein,676,651,2309,1
013dc7c8,4438,protein,2309,3075,890,1
013dc7c8,4598,protein,1,1731,1048,1
013dc7c8,4663,protein,2179,842,2126,1
013dc7c8,4765,protein,0,422,746,1
013dc7c8,4855,protein,cronutriente,1954,2830,1
013dc7c8,5059,protein,0,888,500,1
013dc7c8,5153,protein,1219,3017,2369,1
013dc7c8,5227,protein,890,346,2957,1
013dc7c8,5368,protein,2307,1437,890,1
013dc7c8,5551,protein,2394,2411,3175,1
013dc7c8,5670,protein,0,559,890,1
013dc7c8,5761,protein,2013,2821,1809,1
013dc7c8,5884,protein,1154,2179,721,1
013dc7c8,6106,whey,1054,2628,2222,1
013dc7c8,6470,protein,u,1279,3041,1
013dc7c8,6544,protein,1554,390,2222,1
013dc7c8,6733,protein,1294,1311,2222,1
013dc7c8,6767,whey,3058,890,2945,1
013dc7c8,6806,protein,2628,224,3176,1
013dc7c8,6929,protein,culo,1469,1093,1
013dc7c8,7316,protein,2222,1378,890,1
013dc7c8,7572,whey,2222,2916,2457,1
013dc7c8,7577,protein,2916,2457,775,1
013dc7c8,7646,protein,1093,679,1,1
013dc7c8,7743,protein,149,2628,2999,1
013dc7c8,7777,whey,3059,2138,1004,1
013dc7c8,7782,protein,2138,1004,2916,1
013dc7c8,8033,protein,890,3176,1951,1
013dc7c8,8119,protein,0,3175,784,1
013dc7c8,8194,protein,3002,1815,1,1
013dc7c8,8267,protein,2930,1,2758,1
013dc7c8,8299,whey,roteica,1,1882,1
013dc7c8,8304,protein,1,1882,2513,1
013dc7c8,8377,whey,2126,2218,1142,1
013dc7c8,8382,protein,1856,2218,1142,1
013dc7c8,8609,whey,0,lemento,147,1
013dc7c8,8638,protein,0,3175,2988,1
013dc7c8,8719,protein,1838,2449,2895,1
013dc7c8,8952,protein,1093,1783,671,1
013dc7c8,9091,protein,0,ento,450,1
