iter	Passed	Remaining
0	30	30650
1	62	31017
2	93	30990
3	121	30171
4	150	29981
5	179	29763
6	210	29828
7	240	29764
8	267	29483
9	297	29490
10	327	29439
11	356	29391
12	384	29194
13	415	29288
14	445	29282
15	468	28826
16	493	28526
17	523	28549
18	551	28454
19	580	28463
20	612	28542
21	642	28548
22	672	28579
23	701	28520
24	725	28298
25	755	28304
26	783	28239
27	815	28322
28	846	28330
29	876	28355
30	907	28377
31	935	28311
32	965	28303
33	997	28339
34	1027	28320
35	1056	28283
36	1088	28335
37	1121	28387
38	1150	28340
39	1180	28329
40	1210	28317
41	1239	28280
42	1267	28213
43	1298	28222
44	1329	28210
45	1359	28196
46	1389	28168
47	1421	28191
48	1450	28145
49	1479	28105
50	1510	28111
51	1540	28077
52	1568	28018
53	1599	28025
54	1629	28002
55	1660	27984
56	1690	27963
57	1721	27966
58	1751	27927
59	1781	27903
60	1812	27900
61	1840	27850
62	1872	27848
63	1903	27836
64	1934	27826
65	1965	27820
66	1997	27815
67	2029	27820
68	2061	27812
69	2092	27798
70	2123	27781
71	2153	27760
72	2182	27714
73	2214	27711
74	2245	27694
75	2275	27664
76	2307	27664
77	2338	27637
78	2365	27578
79	2395	27552
80	2427	27542
81	2457	27514
82	2488	27492
83	2520	27489
84	2548	27437
85	2579	27410
86	2611	27404
