ref,location,document_index,subject_encoded,product_predicted,probability_class_0,probability_class_1,subject
644c670b,21,2,4316,1,0.13127822,0.8687218,pretreino
644c670b,497,2,719,0,0.99932563,0.0006743868,betaalanina
644c670b,502,2,719,0,0.99848515,0.001514855,betaalanina
644c670b,1066,2,312,0,0.9999925,7.5111807e-06,aminoacido
644c670b,1669,2,830,0,0.99986166,0.00013833452,cafein
644c670b,1788,2,897,0,0.994136,0.005864023,carboidrato
644c670b,2094,2,897,0,0.9746993,0.025300708,carboidrato
644c670b,2365,2,897,0,0.9939743,0.006025649,carboidrato
644c670b,3006,2,999,0,0.9999276,7.239856e-05,cha
644c670b,3422,2,5723,0,0.9994899,0.0005101169,wafer
f67124aa,23,1,3396,1,0.17089045,0.82910955,mass
f67124aa,165,1,3396,1,0.25475878,0.7452412,mass
f67124aa,595,1,3396,0,0.5743301,0.42566988,mass
f67124aa,195,1,4412,0,0.89470994,0.10529004,protein
f67124aa,235,1,4412,0,0.8889795,0.11102053,protein
f67124aa,230,1,5726,0,0.9876926,0.012307416,whey
f67124aa,246,1,897,0,0.998911,0.0010889994,carboidrato
f67124aa,298,1,5724,0,0.8597048,0.14029521,waxymaize
f67124aa,311,1,3346,0,0.9998522,0.0001478014,malto
f67124aa,497,1,1438,0,0.99838823,0.0016117486,creatina
f67124aa,10,2,3396,1,0.078893185,0.9211068,mass
f67124aa,55,2,3396,1,0.26507974,0.73492026,mass
f67124aa,1318,2,3396,1,0.49536425,0.50463575,mass
f67124aa,4440,2,3396,1,0.1903944,0.8096056,mass
f67124aa,340,2,1438,1,0.09743452,0.9025655,creatina
f67124aa,349,2,1438,1,0.14153838,0.8584616,creatina
f67124aa,508,2,1438,1,0.09743452,0.9025655,creatina
f67124aa,517,2,1438,1,0.14153838,0.8584616,creatina
f67124aa,676,2,1438,1,0.09743452,0.9025655,creatina
f67124aa,685,2,1438,1,0.14153838,0.8584616,creatina
f67124aa,1220,2,1438,1,0.07879561,0.9212044,creatina
f67124aa,1680,2,1438,1,0.11807495,0.88192505,creatina
